Strike,Moneyness,LogMoneyness,TimeToExpiry,ImpliedVol,MarketPrice,Volume,Type
23800.000000,0.979424,-0.020791,0.082192,0.062951,16.605000,0.000000,Put
23900.000000,0.983539,-0.016598,0.082192,0.057657,19.995000,0.000000,Put
24000.000000,0.987654,-0.012423,0.082192,0.055085,28.980000,0.000000,Put
24100.000000,0.991770,-0.008265,0.082192,0.041607,22.340000,0.000000,Put
24200.000000,0.995885,-0.004124,0.082192,0.040559,39.660000,0.000000,Put
24300.000000,1.000000,0.000000,0.082192,0.014546,108.320000,0.000000,Call
24300.000000,1.000000,0.000000,0.082192,0.032619,49.240000,0.000000,Put
24400.000000,1.004115,0.004107,0.082192,0.030929,85.995000,0.000000,Call
24400.000000,1.004115,0.004107,0.082192,0.015297,42.480000,0.000000,Put
24500.000000,1.008230,0.008197,0.082192,0.039104,66.300000,0.000000,Call
24600.000000,1.012346,0.012270,0.082192,0.046332,53.400000,0.000000,Call
24700.000000,1.016461,0.016327,0.082192,0.052112,42.550000,0.000000,Call
24800.000000,1.020576,0.020367,0.082192,0.056659,33.100000,0.000000,Call
24900.000000,1.024691,0.024391,0.082192,0.060339,25.200000,0.000000,Call
